GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Exec,org.waarp.commandexec.ssl.client,LocalExecSslClientHandler,78,15,4,0,16,7,3,3,1,3
Waarp Exec,org.waarp.commandexec.ssl.client,LocalExecSslClientInitializer,0,58,0,0,0,14,0,2,0,2
Waarp Exec,org.waarp.commandexec.utils,LocalExecDefaultResult,0,89,0,0,0,11,0,1,0,1
Waarp Exec,org.waarp.commandexec.utils,LocalExecResult,48,62,2,0,7,24,3,10,2,10
Waarp Exec,org.waarp.commandexec.client,LocalExecClientInitializer,0,62,0,0,0,15,0,4,0,4
Waarp Exec,org.waarp.commandexec.client,LocalExecClientHandler,179,243,14,16,34,55,13,12,2,8
Waarp Exec,org.waarp.commandexec.ssl.server,LocalExecSslServer,174,0,12,0,42,0,9,0,3,0
Waarp Exec,org.waarp.commandexec.ssl.server,LocalExecSslServerHandler,0,5,0,0,0,2,0,1,0,1
Waarp Exec,org.waarp.commandexec.ssl.server,LocalExecSslServerInitializer,10,69,0,0,3,15,1,2,1,2
Waarp Exec,org.waarp.commandexec.server,LocalExecServerHandler,394,248,42,12,98,67,27,9,3,6
Waarp Exec,org.waarp.commandexec.server,LocalExecServerHandler.GGLEThreadShutdown,0,24,0,0,0,8,0,2,0,2
Waarp Exec,org.waarp.commandexec.server,LocalExecServerInitializer,0,91,0,0,0,23,0,5,0,5
Waarp Exec,org.waarp.commandexec.server,LocalExecServer,109,0,4,0,24,0,5,0,3,0
Waarp Exec,org.waarp.commandexec.server,LocalExecServerHandler.GGLETimerTask,27,4,2,0,8,2,2,1,1,1
