GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbModelH2.DbTypeResolverH2,12,0,0,0,5,0,5,0,5,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,EmptyDbModel,23,0,0,0,14,0,13,0,13,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbModelMariadb.DbTypeResolverMariadDb,12,0,0,0,5,0,5,0,5,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbModelMariadb,314,0,12,0,85,0,15,0,9,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbModelFactory,101,0,14,0,22,0,13,0,4,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbModelPostgresql.DbTypeResolverPostgreSQL,8,0,0,0,3,0,3,0,3,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbModelH2.DBType,259,0,17,0,34,0,19,0,3,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbModelCommonMariadbMySql.DBType,229,0,15,0,31,0,17,0,3,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbModelAbstract.DbTypeResolver,11,0,0,0,5,0,5,0,5,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbModelOracle.DBType,229,0,15,0,30,0,17,0,3,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbModelPostgresql,151,0,6,0,45,0,10,0,7,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbModelPostgresql.DBType,229,0,15,0,31,0,17,0,3,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbModelH2,257,0,12,0,72,0,17,0,11,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbType,96,0,10,0,13,0,7,0,2,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbModelMysql,373,0,10,0,102,0,14,0,9,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbModelOracle.DbTypeResolverOracle,8,0,0,0,3,0,3,0,3,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbModelAbstract,346,0,36,0,125,0,31,0,13,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbModelCommonMariadbMySql,155,0,4,0,43,0,8,0,6,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbModelOracle,367,0,12,0,99,0,18,0,12,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.database.model,DbModelMysql.DbTypeResolverMySQL,12,0,0,0,5,0,5,0,5,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,Base64.InnerInputStream,31,281,12,36,9,52,11,17,1,3
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,Base64.InnerOutputStream,58,253,10,22,16,44,11,13,3,5
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,DetectionUtils,21,97,6,8,6,28,9,7,3,6
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,WaarpShutdownHook.ShutdownConfiguration,0,6,0,0,0,2,0,1,0,1
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,WaarpShutdownHook.ShutdownTimerTask,25,25,5,3,6,11,4,3,0,3
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,ThreadLocalRandom,4,44,1,1,1,9,1,5,0,5
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,SystemPropertyUtil.Platform,0,54,0,0,0,6,0,1,0,1
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,WaarpNettyUtil,166,192,25,7,65,41,24,7,8,7
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,SingletonUtils.VoidOutputStream,0,5,0,0,0,5,0,5,0,5
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,FileConvert,246,178,37,25,61,50,26,12,3,4
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,StringUtils,17,97,3,7,5,23,2,7,0,4
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,WaarpStringUtils,291,86,29,1,77,23,23,7,8,7
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,ThreadLocalRandom.new ThreadLocal() {...},0,7,0,0,0,2,0,2,0,2
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,Hexa,45,201,2,8,7,21,4,8,3,4
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,SingletonUtils,0,26,0,0,0,9,0,7,0,7
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,Version,44,0,0,0,14,0,5,0,5,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,ParametersChecker,12,370,5,59,3,66,5,38,0,11
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,WaarpShutdownHook,345,222,41,21,80,90,29,21,3,16
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,WaarpSystemUtil,70,9,12,0,27,4,11,3,5,3
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,Base64,333,5084,52,80,54,243,49,46,1,27
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,SingletonUtils.NullInputStream,0,15,0,0,0,9,0,9,0,9
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,SystemPropertyUtil,338,730,43,71,80,190,35,50,4,24
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,Base64.new ObjectInputStream() {...},22,0,2,0,6,0,3,0,2,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,WaarpThreadFactory,24,43,0,0,4,9,1,2,1,2
Waarp Ftp Core/WaarpCommon,org.waarp.common.utility,BaseXx,0,158,0,0,0,26,0,11,0,11
Waarp Ftp Core/WaarpCommon,org.waarp.common.xml,XmlHash,47,157,8,14,12,32,8,18,3,12
Waarp Ftp Core/WaarpCommon,org.waarp.common.xml,XmlType,45,335,34,41,4,38,34,26,4,13
Waarp Ftp Core/WaarpCommon,org.waarp.common.xml,XmlValue,949,655,119,88,166,162,94,62,6,28
Waarp Ftp Core/WaarpCommon,org.waarp.common.xml,XmlUtil,214,938,37,99,54,251,35,68,3,32
Waarp Ftp Core/WaarpCommon,org.waarp.common.xml,XmlRootHash,0,26,0,2,0,4,0,2,0,1
Waarp Ftp Core/WaarpCommon,org.waarp.common.xml,XmlDecl,116,116,23,11,24,35,19,13,3,12
Waarp Ftp Core/WaarpCommon,org.waarp.common.crypto,Des,11,0,0,0,5,0,5,0,5,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.crypto,HmacSha256,93,18,2,0,23,6,7,4,6,4
Waarp Ftp Core/WaarpCommon,org.waarp.common.crypto,KeyManager,227,0,18,0,61,0,16,0,7,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.crypto,DynamicKeyManager,323,0,20,0,91,0,17,0,7,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.crypto,DesManager,12,0,0,0,3,0,3,0,3,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.crypto,DynamicKeyObject.INSTANCES,0,89,0,0,0,10,0,2,0,2
Waarp Ftp Core/WaarpCommon,org.waarp.common.crypto,HmacSha256Manager,14,0,0,0,4,0,4,0,4,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.crypto,BlowfishManager,14,0,0,0,4,0,4,0,4,0
