GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Ftp SimpleServer,org.waarp.ftp.simpleimpl.data,FileSystemBasedDataBusinessHandler,6,9,0,0,3,5,2,4,2,4
Waarp Ftp SimpleServer,org.waarp.ftp.simpleimpl.file,SimpleAuth,24,62,6,6,9,19,7,6,1,6
Waarp Ftp SimpleServer,org.waarp.ftp.simpleimpl.file,FileBasedAuth,57,119,9,9,13,30,9,9,0,9
Waarp Ftp SimpleServer,org.waarp.ftp.simpleimpl.file,FileBasedFile,8,7,0,0,3,2,1,1,1,1
Waarp Ftp SimpleServer,org.waarp.ftp.simpleimpl.file,FileBasedDir,0,14,0,0,0,3,0,2,0,2
Waarp Ftp SimpleServer,org.waarp.ftp.simpleimpl,SimpleGatewaySslFtpServer,136,0,14,0,35,0,9,0,2,0
Waarp Ftp SimpleServer,org.waarp.ftp.simpleimpl,SimpleGatewayFtpServer,63,0,4,0,20,0,4,0,2,0
Waarp Ftp SimpleServer,org.waarp.ftp.simpleimpl.control,SimpleBusinessHandler,103,149,8,10,12,35,7,19,1,16
Waarp Ftp SimpleServer,org.waarp.ftp.simpleimpl.config,CircularIntValue,0,46,1,1,0,10,1,2,0,2
Waarp Ftp SimpleServer,org.waarp.ftp.simpleimpl.config,FileBasedSslConfiguration,106,216,24,24,37,45,24,3,0,3
Waarp Ftp SimpleServer,org.waarp.ftp.simpleimpl.config,FileBasedConfiguration,133,402,28,36,28,119,28,11,0,7
