GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Gateway Ftp,org.waarp.gateway.ftp.database,DbConstantFtp,3,0,0,0,1,0,1,0,1,0
Waarp Gateway Ftp,org.waarp.gateway.ftp.database.model,DbModelH2Ftp,7,9,0,0,4,4,4,2,4,2
Waarp Gateway Ftp,org.waarp.gateway.ftp.database.model,DbModelFactoryFtp,41,34,4,2,9,8,6,2,2,1
Waarp Gateway Ftp,org.waarp.gateway.ftp.database.model,DbModelMysqlFtp,21,0,0,0,9,0,6,0,6,0
Waarp Gateway Ftp,org.waarp.gateway.ftp.database.model,DbModelPostgresqlFtp,7,6,0,0,4,4,4,2,4,2
Waarp Gateway Ftp,org.waarp.gateway.ftp.database.model,DbModelMariaDbFtp,21,0,0,0,9,0,6,0,6,0
Waarp Gateway Ftp,org.waarp.gateway.ftp.database.model,DbModelOracleFtp,16,0,0,0,8,0,6,0,6,0
Waarp Gateway Ftp,org.waarp.gateway.ftp.adminssl,HttpSslHandler,1875,0,195,0,479,0,120,0,21,0
Waarp Gateway Ftp,org.waarp.gateway.ftp.adminssl,HttpSslHandler.REQUEST,161,0,0,0,24,0,7,0,7,0
Waarp Gateway Ftp,org.waarp.gateway.ftp.adminssl,HttpSslInitializer,56,6,2,0,13,3,2,1,1,1
Waarp Gateway Ftp,org.waarp.gateway.ftp.database.data,DbTransferLog,1819,703,62,6,389,78,80,10,49,7
Waarp Gateway Ftp,org.waarp.gateway.ftp.database.data,DbTransferLog.Columns,0,114,0,0,0,3,0,1,0,1
Waarp Gateway Ftp,org.waarp.gateway.ftp.snmp,FtpPrivateMib.OperStatus,0,78,0,0,0,5,0,2,0,2
Waarp Gateway Ftp,org.waarp.gateway.ftp.snmp,FtpPrivateMib.NotificationTasks,79,0,0,0,4,0,2,0,2,0
Waarp Gateway Ftp,org.waarp.gateway.ftp.snmp,FtpPrivateMib.MibLevel,0,54,0,0,0,2,0,1,0,1
Waarp Gateway Ftp,org.waarp.gateway.ftp.snmp,FtpPrivateMib.NotificationElements,101,0,0,0,9,0,4,0,4,0
Waarp Gateway Ftp,org.waarp.gateway.ftp.snmp,FtpCounter32,19,22,0,0,7,9,2,2,2,2
Waarp Gateway Ftp,org.waarp.gateway.ftp.snmp,FtpVariableFactory,32,43,5,6,9,15,5,7,0,2
Waarp Gateway Ftp,org.waarp.gateway.ftp.snmp,FtpPrivateMib.WaarpErrorValuesIndex,5,265,0,0,1,26,1,2,1,2
Waarp Gateway Ftp,org.waarp.gateway.ftp.snmp,FtpPrivateMib,538,867,17,3,86,85,21,8,11,8
Waarp Gateway Ftp,org.waarp.gateway.ftp.snmp,FtpPrivateMib.WaarpDefinitionIndex,5,64,0,0,1,3,1,1,1,1
Waarp Gateway Ftp,org.waarp.gateway.ftp.snmp,FtpPrivateMib.WaarpGlobalValuesIndex,0,269,0,0,0,11,0,2,0,2
Waarp Gateway Ftp,org.waarp.gateway.ftp.snmp,FtpTimeTicks,19,22,0,0,7,9,2,2,2,2
Waarp Gateway Ftp,org.waarp.gateway.ftp.snmp,FtpPrivateMib.WaarpDetailedValuesIndex,5,298,0,0,1,29,1,2,1,2
Waarp Gateway Ftp,org.waarp.gateway.ftp.snmp,FtpMonitoring,514,213,32,12,127,69,37,11,9,6
Waarp Gateway Ftp,org.waarp.gateway.ftp.snmp,FtpGauge32,19,22,0,0,7,9,2,2,2,2
