GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Http/WaarpDigest,org.waarp.common.digest,FilesystemBasedDigest,181,869,12,85,38,202,14,71,2,29
Waarp Http/WaarpDigest,org.waarp.common.digest,MD5State,0,61,0,0,0,14,0,2,0,2
Waarp Http/WaarpDigest,org.waarp.common.digest,FilesystemBasedDigest.DigestAlgo,13,163,5,11,5,24,5,8,0,5
Waarp Http/WaarpDigest,org.waarp.common.digest,WaarpBC,60,84,7,7,22,28,7,7,1,6
Waarp Http/WaarpDigest,org.waarp.common.digest,MD5,55,3452,18,44,14,315,16,43,0,28
Waarp Http/WaarpDigest,org.waarp.common.digest,WaarpBC.new Provider() {...},0,19,0,0,0,3,0,1,0,1
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbModelH2.DbTypeResolverH2,4,6,0,0,2,2,2,2,2,2
Waarp Http/WaarpCommon,org.waarp.common.database.model,EmptyDbModel,18,5,0,0,11,3,11,2,11,2
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbModelMariadb.DbTypeResolverMariadDb,4,6,0,0,2,2,2,2,2,2
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbModelMariadb,118,118,4,6,26,36,3,9,0,7
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbModelFactory,57,9,8,0,14,2,8,1,2,1
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbModelPostgresql.DbTypeResolverPostgreSQL,0,6,0,0,0,2,0,2,0,2
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbModelH2.DBType,23,236,8,9,8,24,8,11,0,3
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbModelCommonMariadbMySql.DBType,17,212,6,9,6,23,6,11,0,3
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbModelAbstract.DbTypeResolver,8,3,0,0,4,1,4,1,4,1
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbModelOracle.DBType,229,0,15,0,30,0,17,0,3,0
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbModelPostgresql,122,31,4,2,33,13,6,4,4,3
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbModelPostgresql.DBType,17,212,6,9,6,23,6,11,0,3
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbModelH2,162,111,4,8,41,33,6,11,3,8
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbType,4,92,2,8,2,11,2,5,0,2
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbModelMysql,145,113,2,6,32,33,3,9,1,7
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbModelOracle.DbTypeResolverOracle,6,0,0,0,2,0,2,0,2,0
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbModelAbstract,307,39,32,4,111,14,24,7,7,6
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbModelCommonMariadbMySql,146,12,4,0,41,4,6,2,4,2
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbModelOracle,367,0,12,0,100,0,18,0,12,0
Waarp Http/WaarpCommon,org.waarp.common.database.model,DbModelMysql.DbTypeResolverMySQL,4,6,0,0,2,2,2,2,2,2
Waarp Http/WaarpCommon,org.waarp.common.utility,Base64.InnerInputStream,31,217,12,34,9,50,11,16,1,3
Waarp Http/WaarpCommon,org.waarp.common.utility,Base64.InnerOutputStream,58,200,10,20,16,42,11,12,3,5
Waarp Http/WaarpCommon,org.waarp.common.utility,DetectionUtils,41,53,5,1,20,21,6,7,3,7
Waarp Http/WaarpCommon,org.waarp.common.utility,WaarpShutdownHook.ShutdownConfiguration,0,6,0,0,0,2,0,1,0,1
Waarp Http/WaarpCommon,org.waarp.common.utility,WaarpShutdownHook.ShutdownTimerTask,25,25,5,3,6,11,4,3,0,3
