GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Http,org.waarp.http.protocol,HttpResumableInfo,0,203,0,10,0,43,0,23,0,18
Waarp Http,org.waarp.http.protocol,HttpResumableChunkNumber,0,26,1,3,0,6,1,5,0,4
Waarp Http,org.waarp.http.protocol,HttpDeleteSession,215,0,4,0,46,0,9,0,7,0
Waarp Http,org.waarp.http.protocol,HttpSessions,0,68,0,6,0,14,0,10,0,7
Waarp Http,org.waarp.http.protocol,HttpDownloadSession,135,364,12,12,28,91,13,16,2,15
Waarp Http,org.waarp.http.protocol,HttpResumableSession,42,344,6,34,13,90,6,24,0,10
Waarp Http,org.waarp.http.protocol,WaarpStartup,9,27,0,2,3,8,0,3,0,2
Waarp Http,org.waarp.http.protocol,HttpSessionAbstract,142,333,10,14,39,109,11,10,1,8
Waarp Http,org.waarp.http.protocol,HttpHelper,0,32,0,4,0,14,0,5,0,3
Waarp Http,org.waarp.http.protocol.servlet,DownloadServlet.new Callable() {...},0,13,0,0,0,2,0,2,0,2
Waarp Http,org.waarp.http.protocol.servlet,HttpAuthentDefault,12,35,0,0,3,12,0,5,0,5
Waarp Http,org.waarp.http.protocol.servlet,UploadServlet,78,372,2,28,27,101,2,19,0,6
Waarp Http,org.waarp.http.protocol.servlet,AbstractServlet,33,73,3,1,9,21,2,4,0,4
Waarp Http,org.waarp.http.protocol.servlet,UploadServlet.new ByteSource() {...},0,12,0,0,0,2,0,2,0,2
Waarp Http,org.waarp.http.protocol.servlet,DownloadServlet,67,298,6,16,17,85,6,12,0,7
