GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Proxy in R66 protocol,org.waarp.openr66.proxy,R66Proxy,101,0,8,0,29,0,6,0,2,0
Waarp Proxy in R66 protocol,org.waarp.openr66.proxy.network,ProxyBridge,11,69,2,2,4,22,2,8,0,8
Waarp Proxy in R66 protocol,org.waarp.openr66.proxy.network,NetworkServerHandler,266,271,31,25,78,65,27,14,3,10
Waarp Proxy in R66 protocol,org.waarp.openr66.proxy.network,NetworkTransaction,185,206,27,19,57,68,22,8,1,6
Waarp Proxy in R66 protocol,org.waarp.openr66.proxy.network,ProxyEntry,12,95,2,2,3,20,3,9,1,9
Waarp Proxy in R66 protocol,org.waarp.openr66.proxy.network,NetworkServerInitializerProxy,0,63,1,1,0,16,1,2,0,2
Waarp Proxy in R66 protocol,org.waarp.openr66.proxy.network,NetworkPacketCodec,1,121,1,7,1,34,1,6,0,3
Waarp Proxy in R66 protocol,org.waarp.openr66.proxy.protocol.http.adminssl,HttpSslHandlerProxyR66.REQUEST,0,69,0,0,0,7,0,3,0,3
Waarp Proxy in R66 protocol,org.waarp.openr66.proxy.protocol.http.adminssl,HttpSslInitializer,7,52,1,1,1,12,1,2,0,2
Waarp Proxy in R66 protocol,org.waarp.openr66.proxy.protocol.http.adminssl,HttpSslHandlerProxyR66,614,776,82,53,165,184,58,22,0,11
Waarp Proxy in R66 protocol,org.waarp.openr66.proxy.protocol.http,HttpInitializer,7,42,1,1,1,10,1,2,0,2
Waarp Proxy in R66 protocol,org.waarp.openr66.proxy.protocol.http,HttpFormattedHandlerProxyR66.REQUEST,29,75,0,0,4,13,2,4,2,4
Waarp Proxy in R66 protocol,org.waarp.openr66.proxy.protocol.http,HttpFormattedHandlerProxyR66,105,243,24,13,31,63,18,8,1,6
Waarp Proxy in R66 protocol,org.waarp.openr66.proxy.network.ssl,NetworkSslServerHandler.new GenericFutureListener() {...},18,0,4,0,4,0,4,0,2,0
Waarp Proxy in R66 protocol,org.waarp.openr66.proxy.network.ssl,NetworkSslServerInitializerProxy,0,87,1,5,0,22,1,4,0,2
Waarp Proxy in R66 protocol,org.waarp.openr66.proxy.network.ssl,NetworkSslServerHandler,41,7,2,0,14,3,3,2,2,2
Waarp Proxy in R66 protocol,org.waarp.openr66.proxy.configuration,ConfigurationProxyR66,56,421,14,22,17,99,12,13,0,7
Waarp Proxy in R66 protocol,org.waarp.openr66.proxy.configuration,FileBasedConfiguration,88,730,30,32,33,90,30,8,0,7
