GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Extensions for JRE 8 and greater/WaarpDigest,org.waarp.common.digest,FilesystemBasedDigest,1115,0,106,0,243,0,95,0,35,0
Waarp Extensions for JRE 8 and greater/WaarpDigest,org.waarp.common.digest,MD5State,61,0,0,0,14,0,2,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpDigest,org.waarp.common.digest,FilesystemBasedDigest.DigestAlgo,176,0,16,0,29,0,13,0,5,0
Waarp Extensions for JRE 8 and greater/WaarpDigest,org.waarp.common.digest,WaarpBC,192,0,20,0,65,0,18,0,8,0
Waarp Extensions for JRE 8 and greater/WaarpDigest,org.waarp.common.digest,MD5,3509,0,62,0,327,0,59,0,28,0
Waarp Extensions for JRE 8 and greater/WaarpDigest,org.waarp.common.digest,WaarpBC.new Provider() {...},19,0,0,0,3,0,1,0,1,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbModelH2.DbTypeResolverH2,12,0,0,0,5,0,5,0,5,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,EmptyDbModel,23,0,0,0,14,0,13,0,13,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbModelMariadb.DbTypeResolverMariadDb,12,0,0,0,5,0,5,0,5,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbModelMariadb,238,0,10,0,62,0,12,0,7,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbModelFactory,101,0,14,0,22,0,13,0,4,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbModelPostgresql.DbTypeResolverPostgreSQL,8,0,0,0,3,0,3,0,3,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbModelH2.DBType,259,0,17,0,34,0,19,0,3,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbModelCommonMariadbMySql.DBType,229,0,15,0,31,0,17,0,3,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbModelAbstract.DbTypeResolver,11,0,0,0,5,0,5,0,5,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbModelOracle.DBType,229,0,15,0,30,0,17,0,3,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbModelPostgresql,153,0,6,0,46,0,10,0,7,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbModelPostgresql.DBType,229,0,15,0,31,0,17,0,3,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbModelH2,259,0,12,0,73,0,17,0,11,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbType,96,0,10,0,13,0,7,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbModelMysql,373,0,10,0,102,0,14,0,9,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbModelOracle.DbTypeResolverOracle,8,0,0,0,3,0,3,0,3,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbModelAbstract,346,0,36,0,125,0,31,0,13,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbModelCommonMariadbMySql,157,0,4,0,44,0,8,0,6,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbModelOracle,369,0,12,0,100,0,18,0,12,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.database.model,DbModelMysql.DbTypeResolverMySQL,12,0,0,0,5,0,5,0,5,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.utility,Base64.InnerInputStream,312,0,48,0,61,0,28,0,4,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.utility,Base64.InnerOutputStream,311,0,32,0,60,0,24,0,8,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.utility,DetectionUtils,78,0,2,0,32,0,7,0,6,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.utility,WaarpShutdownHook.ShutdownConfiguration,6,0,0,0,2,0,1,0,1,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.utility,WaarpShutdownHook.ShutdownTimerTask,50,0,8,0,17,0,7,0,3,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.utility,ThreadLocalRandom,48,0,2,0,10,0,6,0,5,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.utility,SystemPropertyUtil.Platform,54,0,0,0,6,0,1,0,1,0
Waarp Extensions for JRE 8 and greater/WaarpCommon,org.waarp.common.utility,WaarpNettyUtil,358,0,32,0,106,0,31,0,15,0
