GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.s3,WaarpR66S3Client,343,338,17,13,66,65,16,9,4,6
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.s3,WaarpR66S3Client.new Function() {...},9,14,2,2,4,5,2,2,0,2
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.s3.taskfactory,S3TaskFactory.S3TaskType,0,63,0,0,0,5,0,2,0,2
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.s3.taskfactory,S3TaskFactory,157,78,4,4,23,18,5,7,1,5
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.context.task,S3DeleteTask,55,0,2,0,16,0,5,0,4,0
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.context.task,S3GetTask,51,168,16,20,13,40,18,5,2,3
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.context.task,S3PutTask,10,64,1,1,3,18,1,5,0,5
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.context.task,S3AbstractTask,48,75,1,1,7,14,2,3,1,3
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.context.task,S3PutAndR66DeleteTask,61,0,2,0,18,0,5,0,4,0
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.context.task,S3GetAndDeleteTask,5,47,0,0,2,13,0,4,0,4
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.context.task,S3TaskArgs,85,500,19,43,27,118,19,28,1,14
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.elasticsearch,ElasticsearchMonitoringExporterClientFactoryImpl,0,15,0,0,0,2,0,2,0,2
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.elasticsearch,ElasticsearchMonitoringExporterClientImpl,151,283,20,14,36,65,14,8,0,5
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.elasticsearch,ElasticsearchMonitoringExporterClientImpl.new RestClientBuilder.HttpClientConfigCallback() {...},28,0,2,0,5,0,3,0,2,0
