GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.s3,WaarpR66S3Client,136,545,9,21,29,102,8,17,0,10
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.s3,WaarpR66S3Client.new Function() {...},9,14,2,2,4,5,2,2,0,2
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.s3.taskfactory,S3TaskFactory.S3TaskType,0,63,0,0,0,5,0,2,0,2
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.s3.taskfactory,S3TaskFactory,127,108,1,7,17,24,2,10,1,5
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.context.task,S3DeleteTask,6,49,1,1,3,13,1,4,0,4
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.context.task,S3GetTask,33,186,15,21,6,47,15,8,0,5
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.context.task,S3PutTask,10,64,1,1,3,18,1,5,0,5
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.context.task,S3AbstractTask,7,116,0,2,3,18,0,5,0,4
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.context.task,S3PutAndR66DeleteTask,22,39,1,1,6,12,1,4,0,4
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.context.task,S3GetAndDeleteTask,5,47,0,0,2,13,0,4,0,4
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.context.task,S3TaskArgs,56,529,13,49,15,130,12,35,0,15
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.elasticsearch,ElasticsearchMonitoringExporterClientFactoryImpl,15,0,0,0,2,0,2,0,2,0
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.elasticsearch,ElasticsearchMonitoringExporterClientImpl,434,0,34,0,101,0,22,0,5,0
Waarp Extensions for JRE 8 and greater,org.waarp.openr66.elasticsearch,ElasticsearchMonitoringExporterClientImpl.new RestClientBuilder.HttpClientConfigCallback() {...},28,0,2,0,5,0,3,0,2,0
