GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp OpenR66,org.waarp.openr66.dao.exception,DAOConnectionException,5,8,0,0,2,4,1,2,1,2
Waarp OpenR66,org.waarp.openr66.dao.exception,DAONoDataException,9,4,0,0,4,2,2,1,2,1
Waarp OpenR66,org.waarp.openr66.dao.exception,DAOException,5,8,0,0,2,4,1,2,1,2
Waarp OpenR66,org.waarp.openr66.protocol.utils,ChannelUtils,94,411,19,39,20,133,17,25,1,12
Waarp OpenR66,org.waarp.openr66.protocol.utils,ChannelCloseTimer,61,35,14,4,20,11,13,3,4,3
Waarp OpenR66,org.waarp.openr66.protocol.utils,R66Versions,0,91,0,0,0,12,0,3,0,3
Waarp OpenR66,org.waarp.openr66.protocol.utils,NbAndSpecialId,0,6,0,0,0,2,0,1,0,1
Waarp OpenR66,org.waarp.openr66.protocol.utils,R66ShutdownHook,0,6,0,0,0,4,0,2,0,2
Waarp OpenR66,org.waarp.openr66.protocol.utils,TransferUtils,674,116,79,13,214,40,49,7,4,4
Waarp OpenR66,org.waarp.openr66.protocol.utils,FileUtils,53,130,10,16,19,34,10,7,0,4
Waarp OpenR66,org.waarp.openr66.protocol.utils,Version,4,0,0,0,2,0,1,0,1,0
Waarp OpenR66,org.waarp.openr66.protocol.utils,ChannelUtils.new GenericFutureListener() {...},0,10,0,0,0,3,0,2,0,2
Waarp OpenR66,org.waarp.openr66.protocol.utils,R66Future,40,25,4,0,5,11,4,7,2,7
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,KeepAlivePacket,5,86,1,3,1,24,1,10,0,9
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,AuthentPacket,78,317,11,15,11,75,13,13,2,11
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,InformationPacket.ASKENUM,0,44,0,0,0,2,0,1,0,1
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,BlockRequestPacket,117,0,6,0,25,0,11,0,8,0
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,EndRequestPacket,83,135,7,7,14,40,9,11,3,10
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,ValidPacket,0,186,0,8,0,41,0,14,0,10
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,ConnectionErrorPacket,23,129,6,6,3,31,9,5,3,5
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,BusinessRequestPacket,47,162,3,5,10,43,6,11,3,10
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,ShutdownPacket,159,0,16,0,37,0,17,0,9,0
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,RequestPacket.TRANSFERMODE,0,94,0,0,0,3,0,1,0,1
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,JsonCommandPacket,17,214,3,9,9,51,4,15,1,12
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,ErrorPacket,7,184,7,7,1,41,7,9,0,9
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,AbstractLocalPacket,54,224,17,23,13,57,21,9,4,6
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,DataPacket,126,261,16,12,18,67,17,16,3,16
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,InformationPacket,18,186,7,7,4,43,7,9,0,9
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,NoOpPacket,4,29,0,0,1,10,1,5,1,5
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,RequestPacket.FIELDS,0,94,0,0,0,2,0,1,0,1
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,RequestPacket,311,546,30,64,47,131,27,61,3,38
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,EndTransferPacket,47,183,4,10,6,53,6,15,3,11
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,TestPacket,2,182,4,6,0,40,4,8,0,7
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,LocalPacketFactory,70,83,8,13,11,15,8,13,1,1
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,StartupPacket,89,11,0,0,20,5,6,2,6,2
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,LocalPacketCodec,13,34,2,2,5,7,3,1,1,1
Waarp OpenR66,org.waarp.openr66.protocol.http,HttpFormattedHandler.REPLACEMENT,0,64,0,0,0,3,0,1,0,1
Waarp OpenR66,org.waarp.openr66.protocol.http,HttpFormattedHandler.REQUEST,0,163,0,0,0,21,0,6,0,6
Waarp OpenR66,org.waarp.openr66.protocol.http,HttpInitializer,0,50,1,1,0,12,1,2,0,2
Waarp OpenR66,org.waarp.openr66.protocol.http,HttpFormattedHandler,613,1316,63,70,160,320,47,43,3,17
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet.compression,ZstdCompressionCodecDataPacket,68,135,3,5,11,34,3,5,0,4
Waarp OpenR66,org.waarp.openr66.protocol.http.rest,HttpRestR66Initializer,53,12,4,0,12,5,3,1,1,1
Waarp OpenR66,org.waarp.openr66.protocol.http.rest,HttpRestR66Handler.RESTHANDLERS,2,182,1,3,1,20,1,4,0,3
Waarp OpenR66,org.waarp.openr66.protocol.http.rest,HttpRestR66Handler,172,644,38,30,46,145,33,11,1,9
Waarp OpenR66,org.waarp.openr66.protocol.http.restv2.errors,RestErrors,217,0,0,0,30,0,15,0,15,0
Waarp OpenR66,org.waarp.openr66.protocol.http.restv2.errors,RestErrorException,49,0,2,0,14,0,4,0,3,0
Waarp OpenR66,org.waarp.openr66.protocol.http.restv2.errors,RestError,42,0,0,0,13,0,2,0,2,0
Waarp OpenR66,org.waarp.openr66.protocol.http.rest.client,HttpRestR66Client,94,82,10,4,28,18,9,5,2,5
Waarp OpenR66,org.waarp.openr66.protocol.http.rest.client,HttpRestR66ClientResponseHandler,281,325,37,41,76,87,30,22,2,9
Waarp OpenR66,org.waarp.openr66.protocol.http.rest.client,HttpRestR66ClientInitializer,28,0,0,0,6,0,2,0,2,0
Waarp OpenR66,org.waarp.openr66.dao,Filter,74,85,9,9,10,19,7,5,0,3
Waarp OpenR66,org.waarp.openr66.dao,DAOFactory,25,36,3,3,11,18,5,6,3,5
Waarp OpenR66,org.waarp.openr66.context,R66Result,4,147,1,11,0,42,1,21,0,16
Waarp OpenR66,org.waarp.openr66.context,R66FiniteDualStates.R66Transition,0,399,0,0,0,28,0,2,0,2
Waarp OpenR66,org.waarp.openr66.context,R66Session,947,1570,113,167,212,390,100,97,6,51
Waarp OpenR66,org.waarp.openr66.context,R66FiniteDualStates,0,253,0,2,0,11,0,5,0,4
Waarp OpenR66,org.waarp.openr66.context,ErrorCode,68,441,28,12,32,55,28,16,1,6
Waarp OpenR66,org.waarp.openr66.context,R66DefaultBusinessFactory,0,13,0,0,0,6,0,4,0,4
Waarp OpenR66,org.waarp.openr66.context.authentication,R66Auth,163,447,18,34,34,121,19,27,3,17
Waarp OpenR66,org.waarp.openr66.protocol.http.restv2,RestConstants,22,29,0,0,7,14,1,3,1,3
Waarp OpenR66,org.waarp.openr66.protocol.http.restv2,RestServiceInitializer,69,305,10,8,21,63,11,4,2,4
Waarp OpenR66,org.waarp.openr66.protocol.http.restv2,RestServiceInitializer.new ChannelPipelineModifier() {...},18,52,2,4,4,12,2,3,0,2
Waarp OpenR66,org.waarp.openr66.protocol.networkhandler,NetworkServerHandler.finalNPWrite,0,20,0,0,0,7,0,2,0,2
Waarp OpenR66,org.waarp.openr66.protocol.networkhandler,NetworkTransaction,770,1079,92,116,237,350,85,72,16,37
Waarp OpenR66,org.waarp.openr66.protocol.networkhandler,NetworkServerHandler,498,401,59,47,150,130,40,24,1,10
Waarp OpenR66,org.waarp.openr66.protocol.networkhandler,NetworkChannelReference,231,293,42,24,67,79,36,24,10,17
Waarp OpenR66,org.waarp.openr66.protocol.networkhandler,R66ConstraintLimitHandler,34,35,6,2,9,8,8,3,4,3
Waarp OpenR66,org.waarp.openr66.protocol.networkhandler,NetworkTransaction.R66ShutdownNetworkChannelTimerTask,96,0,16,0,24,0,11,0,3,0
Waarp OpenR66,org.waarp.openr66.protocol.networkhandler,NetworkTransaction.CloseFutureChannel,0,50,0,6,0,15,0,6,0,3
Waarp OpenR66,org.waarp.openr66.protocol.networkhandler,NetworkServerInitializer,5,74,1,1,1,22,1,3,0,3
Waarp OpenR66,org.waarp.openr66.protocol.networkhandler,ClientNetworkChannels,23,42,2,0,7,15,2,7,1,7
Waarp OpenR66,org.waarp.openr66.client.spooledService,SpooledServiceLauncher,19,0,0,0,11,0,6,0,6,0
Waarp OpenR66,org.waarp.openr66.client.spooledService,SpooledEngine,257,0,18,0,69,0,15,0,6,0
Waarp OpenR66,org.waarp.openr66.dao.database,DBTransferDAO,140,745,7,5,42,132,8,28,4,26
Waarp OpenR66,org.waarp.openr66.dao.database,DBDAOFactory,112,167,7,21,24,39,9,17,3,9
Waarp OpenR66,org.waarp.openr66.dao.database,DBDAOFactory.FakeConnection,90,11,0,0,53,5,53,3,53,3
Waarp OpenR66,org.waarp.openr66.dao.database,DBRuleDAO,25,396,4,8,9,75,5,21,1,19
Waarp OpenR66,org.waarp.openr66.dao.database,DBLimitDAO,10,146,0,0,4,29,2,14,2,14
Waarp OpenR66,org.waarp.openr66.dao.database,StatementExecutor,291,738,18,66,88,194,21,57,5,31
