GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Snmp,org.waarp.snmp.interf,WaarpInterfaceMib.TrapLevel,1,71,1,1,0,8,1,2,0,2
Waarp Snmp,org.waarp.snmp.interf,WaarpGauge32,13,10,0,0,6,5,3,2,3,2
Waarp Snmp,org.waarp.snmp.interf,WaarpInterfaceMib,0,6,0,0,0,1,0,1,0,1
Waarp Snmp,org.waarp.snmp.interf,WaarpTimeTicks,23,0,0,0,11,0,5,0,5,0
Waarp Snmp,org.waarp.snmp.interf,WaarpCounter32,13,10,0,0,6,5,3,2,3,2
Waarp Snmp,org.waarp.snmp.utils,WaarpEntry,0,9,0,0,0,4,0,1,0,1
Waarp Snmp,org.waarp.snmp.utils,WaarpDefaultVariableFactory,66,3,11,0,23,1,11,1,1,1
Waarp Snmp,org.waarp.snmp.utils,MemoryGauge32.MemoryType,0,34,0,0,0,2,0,1,0,1
Waarp Snmp,org.waarp.snmp.utils,WaarpUptime,17,15,0,0,6,6,3,2,3,2
Waarp Snmp,org.waarp.snmp.utils,WaarpMORow,44,103,4,4,9,24,4,6,2,4
Waarp Snmp,org.waarp.snmp.utils,WaarpMOScalar,9,21,0,0,2,7,1,2,1,2
Waarp Snmp,org.waarp.snmp.utils,MemoryGauge32,3,55,1,5,2,17,2,5,1,2
Waarp Snmp,org.waarp.snmp.r66,WaarpPrivateMib.NotificationTasks,0,149,0,0,0,5,0,2,0,2
Waarp Snmp,org.waarp.snmp.r66,WaarpPrivateMib.WaarpGlobalValuesIndex,0,269,0,0,0,11,0,2,0,2
Waarp Snmp,org.waarp.snmp.r66,WaarpPrivateMib.WaarpDefinitionIndex,69,0,0,0,4,0,2,0,2,0
Waarp Snmp,org.waarp.snmp.r66,WaarpPrivateMib.OperStatus,0,78,0,0,0,5,0,2,0,2
Waarp Snmp,org.waarp.snmp.r66,WaarpPrivateMib.MibLevel,0,54,0,0,0,2,0,1,0,1
Waarp Snmp,org.waarp.snmp.r66,WaarpPrivateMib,91,1024,2,2,13,87,4,9,2,9
Waarp Snmp,org.waarp.snmp.r66,WaarpPrivateMib.WaarpErrorValuesIndex,249,0,0,0,11,0,2,0,2,0
Waarp Snmp,org.waarp.snmp.r66,WaarpPrivateMib.WaarpDetailedValuesIndex,139,0,0,0,6,0,2,0,2,0
Waarp Snmp,org.waarp.snmp.r66,WaarpPrivateMib.NotificationElements,0,101,0,0,0,9,0,4,0,4
Waarp Snmp,org.waarp.snmp,SnmpConfiguration.SecurityProtocolList,0,34,0,0,0,5,0,2,0,2
Waarp Snmp,org.waarp.snmp,SnmpConfiguration.PrivacyProtocolList,0,67,0,0,0,6,0,2,0,2
Waarp Snmp,org.waarp.snmp,WaarpMOFactory,191,38,30,2,53,11,27,5,2,5
Waarp Snmp,org.waarp.snmp,SnmpConfiguration.TargetElement,0,72,0,0,0,11,0,2,0,2
Waarp Snmp,org.waarp.snmp,SnmpConfiguration.TransportDomain,0,100,0,0,0,12,0,2,0,2
Waarp Snmp,org.waarp.snmp,SnmpConfiguration,173,653,46,59,43,130,46,12,0,5
Waarp Snmp,org.waarp.snmp,WaarpSnmpAgent,50,989,15,27,19,161,16,27,1,21
